,loan_id,gender,married,dependents,education,self_employed,applicantincome,coapplicantincome,loanamount,loan_amount_term,credit_history,property_area,loan_status
350,lp002139,male,yes,0.0,graduate,no,9083,0.0,228.0,360.0,1.0,semiurban,y
351,lp002140,male,no,0.0,graduate,no,8750,4167.0,308.0,360.0,1.0,rural,n
352,lp002141,male,yes,3.0,graduate,no,2666,2083.0,95.0,360.0,1.0,rural,y
353,lp002142,female,yes,0.0,graduate,yes,5500,0.0,105.0,360.0,0.0,rural,n
354,lp002143,female,yes,0.0,graduate,no,2423,505.0,130.0,360.0,1.0,semiurban,y
356,lp002149,male,yes,2.0,graduate,no,8333,3167.0,165.0,360.0,1.0,rural,y
357,lp002151,male,yes,1.0,graduate,no,3875,0.0,67.0,360.0,1.0,urban,n
358,lp002158,male,yes,0.0,not graduate,no,3000,1666.0,100.0,480.0,0.0,urban,n
359,lp002160,male,yes,3.0,graduate,no,5167,3167.0,200.0,360.0,1.0,semiurban,y
360,lp002161,female,no,1.0,graduate,no,4723,0.0,81.0,360.0,1.0,semiurban,n
361,lp002170,male,yes,2.0,graduate,no,5000,3667.0,236.0,360.0,1.0,semiurban,y
362,lp002175,male,yes,0.0,graduate,no,4750,2333.0,130.0,360.0,1.0,urban,y
363,lp002178,male,yes,0.0,graduate,no,3013,3033.0,95.0,300.0,,urban,y
364,lp002180,male,no,0.0,graduate,yes,6822,0.0,141.0,360.0,1.0,rural,y
365,lp002181,male,no,0.0,not graduate,no,6216,0.0,133.0,360.0,1.0,rural,n
366,lp002187,male,no,0.0,graduate,no,2500,0.0,96.0,480.0,1.0,semiurban,n
368,lp002190,male,yes,1.0,graduate,no,6325,0.0,175.0,360.0,1.0,semiurban,y
369,lp002191,male,yes,0.0,graduate,no,19730,5266.0,570.0,360.0,1.0,rural,n
370,lp002194,female,no,0.0,graduate,yes,15759,0.0,55.0,360.0,1.0,semiurban,y
371,lp002197,male,yes,2.0,graduate,no,5185,0.0,155.0,360.0,1.0,semiurban,y
372,lp002201,male,yes,2.0,graduate,yes,9323,7873.0,380.0,300.0,1.0,rural,y
373,lp002205,male,no,1.0,graduate,no,3062,1987.0,111.0,180.0,0.0,urban,n
375,lp002211,male,yes,0.0,graduate,no,4817,923.0,120.0,180.0,1.0,urban,y
376,lp002219,male,yes,3.0,graduate,no,8750,4996.0,130.0,360.0,1.0,rural,y
377,lp002223,male,yes,0.0,graduate,no,4310,0.0,130.0,360.0,,semiurban,y
378,lp002224,male,no,0.0,graduate,no,3069,0.0,71.0,480.0,1.0,urban,n
379,lp002225,male,yes,2.0,graduate,no,5391,0.0,130.0,360.0,1.0,urban,y
381,lp002229,male,no,0.0,graduate,no,5941,4232.0,296.0,360.0,1.0,semiurban,y
382,lp002231,female,no,0.0,graduate,no,6000,0.0,156.0,360.0,1.0,urban,y
383,lp002234,male,no,0.0,graduate,yes,7167,0.0,128.0,360.0,1.0,urban,y
384,lp002236,male,yes,2.0,graduate,no,4566,0.0,100.0,360.0,1.0,urban,n
386,lp002239,male,no,0.0,not graduate,no,2346,1600.0,132.0,360.0,1.0,semiurban,y
388,lp002244,male,yes,0.0,graduate,no,2333,2417.0,136.0,360.0,1.0,urban,y
389,lp002250,male,yes,0.0,graduate,no,5488,0.0,125.0,360.0,1.0,rural,y
390,lp002255,male,no,3.0,graduate,no,9167,0.0,185.0,360.0,1.0,rural,y
391,lp002262,male,yes,3.0,graduate,no,9504,0.0,275.0,360.0,1.0,rural,y
392,lp002263,male,yes,0.0,graduate,no,2583,2115.0,120.0,360.0,,urban,y
393,lp002265,male,yes,2.0,not graduate,no,1993,1625.0,113.0,180.0,1.0,semiurban,y
394,lp002266,male,yes,2.0,graduate,no,3100,1400.0,113.0,360.0,1.0,urban,y
395,lp002272,male,yes,2.0,graduate,no,3276,484.0,135.0,360.0,,semiurban,y
396,lp002277,female,no,0.0,graduate,no,3180,0.0,71.0,360.0,0.0,urban,n
397,lp002281,male,yes,0.0,graduate,no,3033,1459.0,95.0,360.0,1.0,urban,y
398,lp002284,male,no,0.0,not graduate,no,3902,1666.0,109.0,360.0,1.0,rural,y
399,lp002287,female,no,0.0,graduate,no,1500,1800.0,103.0,360.0,0.0,semiurban,n
400,lp002288,male,yes,2.0,not graduate,no,2889,0.0,45.0,180.0,0.0,urban,n
401,lp002296,male,no,0.0,not graduate,no,2755,0.0,65.0,300.0,1.0,rural,n
402,lp002297,male,no,0.0,graduate,no,2500,20000.0,103.0,360.0,1.0,semiurban,y
403,lp002300,female,no,0.0,not graduate,no,1963,0.0,53.0,360.0,1.0,semiurban,y
404,lp002301,female,no,0.0,graduate,yes,7441,0.0,194.0,360.0,1.0,rural,n
405,lp002305,female,no,0.0,graduate,no,4547,0.0,115.0,360.0,1.0,semiurban,y
406,lp002308,male,yes,0.0,not graduate,no,2167,2400.0,115.0,360.0,1.0,urban,y
407,lp002314,female,no,0.0,not graduate,no,2213,0.0,66.0,360.0,1.0,rural,y
408,lp002315,male,yes,1.0,graduate,no,8300,0.0,152.0,300.0,0.0,semiurban,n
409,lp002317,male,yes,3.0,graduate,no,81000,0.0,360.0,360.0,0.0,rural,n
410,lp002318,female,no,1.0,not graduate,yes,3867,0.0,62.0,360.0,1.0,semiurban,n
412,lp002328,male,yes,0.0,not graduate,no,6096,0.0,218.0,360.0,0.0,rural,n
413,lp002332,male,yes,0.0,not graduate,no,2253,2033.0,110.0,360.0,1.0,rural,y
414,lp002335,female,yes,0.0,not graduate,no,2149,3237.0,178.0,360.0,0.0,semiurban,n
415,lp002337,female,no,0.0,graduate,no,2995,0.0,60.0,360.0,1.0,urban,y
416,lp002341,female,no,1.0,graduate,no,2600,0.0,160.0,360.0,1.0,urban,n
417,lp002342,male,yes,2.0,graduate,yes,1600,20000.0,239.0,360.0,1.0,urban,n
418,lp002345,male,yes,0.0,graduate,no,1025,2773.0,112.0,360.0,1.0,rural,y
419,lp002347,male,yes,0.0,graduate,no,3246,1417.0,138.0,360.0,1.0,semiurban,y
420,lp002348,male,yes,0.0,graduate,no,5829,0.0,138.0,360.0,1.0,rural,y
422,lp002361,male,yes,0.0,graduate,no,1820,1719.0,100.0,360.0,1.0,urban,y
424,lp002364,male,yes,0.0,graduate,no,14880,0.0,96.0,360.0,1.0,semiurban,y
425,lp002366,male,yes,0.0,graduate,no,2666,4300.0,121.0,360.0,1.0,rural,y
426,lp002367,female,no,1.0,not graduate,no,4606,0.0,81.0,360.0,1.0,rural,n
427,lp002368,male,yes,2.0,graduate,no,5935,0.0,133.0,360.0,1.0,semiurban,y
428,lp002369,male,yes,0.0,graduate,no,2920,16.12000084,87.0,360.0,1.0,rural,y
429,lp002370,male,no,0.0,not graduate,no,2717,0.0,60.0,180.0,1.0,urban,y
430,lp002377,female,no,1.0,graduate,yes,8624,0.0,150.0,360.0,1.0,semiurban,y
431,lp002379,male,no,0.0,graduate,no,6500,0.0,105.0,360.0,0.0,rural,n
433,lp002387,male,yes,0.0,graduate,no,2425,2340.0,143.0,360.0,1.0,semiurban,y
434,lp002390,male,no,0.0,graduate,no,3750,0.0,100.0,360.0,1.0,urban,y
436,lp002398,male,no,0.0,graduate,no,1926,1851.0,50.0,360.0,1.0,semiurban,y
438,lp002403,male,no,0.0,graduate,yes,10416,0.0,187.0,360.0,0.0,urban,n
439,lp002407,female,yes,0.0,not graduate,yes,7142,0.0,138.0,360.0,1.0,rural,y
440,lp002408,male,no,0.0,graduate,no,3660,5064.0,187.0,360.0,1.0,semiurban,y
441,lp002409,male,yes,0.0,graduate,no,7901,1833.0,180.0,360.0,1.0,rural,y
442,lp002418,male,no,3.0,not graduate,no,4707,1993.0,148.0,360.0,1.0,semiurban,y
443,lp002422,male,no,1.0,graduate,no,37719,0.0,152.0,360.0,1.0,semiurban,y
444,lp002424,male,yes,0.0,graduate,no,7333,8333.0,175.0,300.0,,rural,y
445,lp002429,male,yes,1.0,graduate,yes,3466,1210.0,130.0,360.0,1.0,rural,y
446,lp002434,male,yes,2.0,not graduate,no,4652,0.0,110.0,360.0,1.0,rural,y
448,lp002443,male,yes,2.0,graduate,no,3340,1710.0,150.0,360.0,0.0,rural,n
449,lp002444,male,no,1.0,not graduate,yes,2769,1542.0,190.0,360.0,,semiurban,n
450,lp002446,male,yes,2.0,not graduate,no,2309,1255.0,125.0,360.0,0.0,rural,n
451,lp002447,male,yes,2.0,not graduate,no,1958,1456.0,60.0,300.0,,urban,y
452,lp002448,male,yes,0.0,graduate,no,3948,1733.0,149.0,360.0,0.0,rural,n
453,lp002449,male,yes,0.0,graduate,no,2483,2466.0,90.0,180.0,0.0,rural,y
454,lp002453,male,no,0.0,graduate,yes,7085,0.0,84.0,360.0,1.0,semiurban,y
455,lp002455,male,yes,2.0,graduate,no,3859,0.0,96.0,360.0,1.0,semiurban,y
456,lp002459,male,yes,0.0,graduate,no,4301,0.0,118.0,360.0,1.0,urban,y
457,lp002467,male,yes,0.0,graduate,no,3708,2569.0,173.0,360.0,1.0,urban,n
458,lp002472,male,no,2.0,graduate,no,4354,0.0,136.0,360.0,1.0,rural,y
459,lp002473,male,yes,0.0,graduate,no,8334,0.0,160.0,360.0,1.0,semiurban,n
461,lp002484,male,yes,3.0,graduate,no,7740,0.0,128.0,180.0,1.0,urban,y
462,lp002487,male,yes,0.0,graduate,no,3015,2188.0,153.0,360.0,1.0,rural,y
464,lp002493,male,no,0.0,graduate,no,4166,0.0,98.0,360.0,0.0,semiurban,n
465,lp002494,male,no,0.0,graduate,no,6000,0.0,140.0,360.0,1.0,rural,y
466,lp002500,male,yes,3.0,not graduate,no,2947,1664.0,70.0,180.0,0.0,urban,n
469,lp002505,male,yes,0.0,graduate,no,4333,2451.0,110.0,360.0,1.0,urban,n
470,lp002515,male,yes,1.0,graduate,yes,3450,2079.0,162.0,360.0,1.0,semiurban,y
471,lp002517,male,yes,1.0,not graduate,no,2653,1500.0,113.0,180.0,0.0,rural,n
472,lp002519,male,yes,3.0,graduate,no,4691,0.0,100.0,360.0,1.0,semiurban,y
473,lp002522,female,no,0.0,graduate,yes,2500,0.0,93.0,360.0,,urban,y
474,lp002524,male,no,2.0,graduate,no,5532,4648.0,162.0,360.0,1.0,rural,y
475,lp002527,male,yes,2.0,graduate,yes,16525,1014.0,150.0,360.0,1.0,rural,y
476,lp002529,male,yes,2.0,graduate,no,6700,1750.0,230.0,300.0,1.0,semiurban,y
478,lp002531,male,yes,1.0,graduate,yes,16667,2250.0,86.0,360.0,1.0,semiurban,y
480,lp002534,female,no,0.0,not graduate,no,4350,0.0,154.0,360.0,1.0,rural,y
481,lp002536,male,yes,3.0,not graduate,no,3095,0.0,113.0,360.0,1.0,rural,y
482,lp002537,male,yes,0.0,graduate,no,2083,3150.0,128.0,360.0,1.0,semiurban,y
483,lp002541,male,yes,0.0,graduate,no,10833,0.0,234.0,360.0,1.0,semiurban,y
484,lp002543,male,yes,2.0,graduate,no,8333,0.0,246.0,360.0,1.0,semiurban,y
485,lp002544,male,yes,1.0,not graduate,no,1958,2436.0,131.0,360.0,1.0,rural,y
486,lp002545,male,no,2.0,graduate,no,3547,0.0,80.0,360.0,0.0,rural,n
487,lp002547,male,yes,1.0,graduate,no,18333,0.0,500.0,360.0,1.0,urban,n
488,lp002555,male,yes,2.0,graduate,yes,4583,2083.0,160.0,360.0,1.0,semiurban,y
489,lp002556,male,no,0.0,graduate,no,2435,0.0,75.0,360.0,1.0,urban,n
490,lp002560,male,no,0.0,not graduate,no,2699,2785.0,96.0,360.0,,semiurban,y
491,lp002562,male,yes,1.0,not graduate,no,5333,1131.0,186.0,360.0,,urban,y
492,lp002571,male,no,0.0,not graduate,no,3691,0.0,110.0,360.0,1.0,rural,y
493,lp002582,female,no,0.0,not graduate,yes,17263,0.0,225.0,360.0,1.0,semiurban,y
494,lp002585,male,yes,0.0,graduate,no,3597,2157.0,119.0,360.0,0.0,rural,n
495,lp002586,female,yes,1.0,graduate,no,3326,913.0,105.0,84.0,1.0,semiurban,y
496,lp002587,male,yes,0.0,not graduate,no,2600,1700.0,107.0,360.0,1.0,rural,y
497,lp002588,male,yes,0.0,graduate,no,4625,2857.0,111.0,12.0,,urban,y
498,lp002600,male,yes,1.0,graduate,yes,2895,0.0,95.0,360.0,1.0,semiurban,y
499,lp002602,male,no,0.0,graduate,no,6283,4416.0,209.0,360.0,0.0,rural,n
500,lp002603,female,no,0.0,graduate,no,645,3683.0,113.0,480.0,1.0,rural,y
501,lp002606,female,no,0.0,graduate,no,3159,0.0,100.0,360.0,1.0,semiurban,y
502,lp002615,male,yes,2.0,graduate,no,4865,5624.0,208.0,360.0,1.0,semiurban,y
503,lp002618,male,yes,1.0,not graduate,no,4050,5302.0,138.0,360.0,,rural,n
504,lp002619,male,yes,0.0,not graduate,no,3814,1483.0,124.0,300.0,1.0,semiurban,y
505,lp002622,male,yes,2.0,graduate,no,3510,4416.0,243.0,360.0,1.0,rural,y
506,lp002624,male,yes,0.0,graduate,no,20833,6667.0,480.0,360.0,,urban,y
508,lp002626,male,yes,0.0,graduate,yes,2479,3013.0,188.0,360.0,1.0,urban,y
509,lp002634,female,no,1.0,graduate,no,13262,0.0,40.0,360.0,1.0,urban,y
510,lp002637,male,no,0.0,not graduate,no,3598,1287.0,100.0,360.0,1.0,rural,n
511,lp002640,male,yes,1.0,graduate,no,6065,2004.0,250.0,360.0,1.0,semiurban,y
512,lp002643,male,yes,2.0,graduate,no,3283,2035.0,148.0,360.0,1.0,urban,y
513,lp002648,male,yes,0.0,graduate,no,2130,6666.0,70.0,180.0,1.0,semiurban,n
514,lp002652,male,no,0.0,graduate,no,5815,3666.0,311.0,360.0,1.0,rural,n
515,lp002659,male,yes,3.0,graduate,no,3466,3428.0,150.0,360.0,1.0,rural,y
516,lp002670,female,yes,2.0,graduate,no,2031,1632.0,113.0,480.0,1.0,semiurban,y
518,lp002683,male,no,0.0,graduate,no,4683,1915.0,185.0,360.0,1.0,semiurban,n
519,lp002684,female,no,0.0,not graduate,no,3400,0.0,95.0,360.0,1.0,rural,n
520,lp002689,male,yes,2.0,not graduate,no,2192,1742.0,45.0,360.0,1.0,semiurban,y
521,lp002690,male,no,0.0,graduate,no,2500,0.0,55.0,360.0,1.0,semiurban,y
522,lp002692,male,yes,3.0,graduate,yes,5677,1424.0,100.0,360.0,1.0,rural,y
523,lp002693,male,yes,2.0,graduate,yes,7948,7166.0,480.0,360.0,1.0,rural,y
525,lp002699,male,yes,2.0,graduate,yes,17500,0.0,400.0,360.0,1.0,rural,y
526,lp002705,male,yes,0.0,graduate,no,3775,0.0,110.0,360.0,1.0,semiurban,y
527,lp002706,male,yes,1.0,not graduate,no,5285,1430.0,161.0,360.0,0.0,semiurban,y
528,lp002714,male,no,1.0,not graduate,no,2679,1302.0,94.0,360.0,1.0,semiurban,y
529,lp002716,male,no,0.0,not graduate,no,6783,0.0,130.0,360.0,1.0,semiurban,y
530,lp002717,male,yes,0.0,graduate,no,1025,5500.0,216.0,360.0,,rural,y
531,lp002720,male,yes,3.0,graduate,no,4281,0.0,100.0,360.0,1.0,urban,y
532,lp002723,male,no,2.0,graduate,no,3588,0.0,110.0,360.0,0.0,rural,n
533,lp002729,male,no,1.0,graduate,no,11250,0.0,196.0,360.0,,semiurban,n
534,lp002731,female,no,0.0,not graduate,yes,18165,0.0,125.0,360.0,1.0,urban,y
536,lp002734,male,yes,0.0,graduate,no,6133,3906.0,324.0,360.0,1.0,urban,y
537,lp002738,male,no,2.0,graduate,no,3617,0.0,107.0,360.0,1.0,semiurban,y
538,lp002739,male,yes,0.0,not graduate,no,2917,536.0,66.0,360.0,1.0,rural,n
539,lp002740,male,yes,3.0,graduate,no,6417,0.0,157.0,180.0,1.0,rural,y
540,lp002741,female,yes,1.0,graduate,no,4608,2845.0,140.0,180.0,1.0,semiurban,y
541,lp002743,female,no,0.0,graduate,no,2138,0.0,99.0,360.0,0.0,semiurban,n
543,lp002755,male,yes,1.0,not graduate,no,2239,2524.0,128.0,360.0,1.0,urban,y
544,lp002757,female,yes,0.0,not graduate,no,3017,663.0,102.0,360.0,,semiurban,y
545,lp002767,male,yes,0.0,graduate,no,2768,1950.0,155.0,360.0,1.0,rural,y
546,lp002768,male,no,0.0,not graduate,no,3358,0.0,80.0,36.0,1.0,semiurban,n
547,lp002772,male,no,0.0,graduate,no,2526,1783.0,145.0,360.0,1.0,rural,y
548,lp002776,female,no,0.0,graduate,no,5000,0.0,103.0,360.0,0.0,semiurban,n
549,lp002777,male,yes,0.0,graduate,no,2785,2016.0,110.0,360.0,1.0,rural,y
552,lp002785,male,yes,1.0,graduate,no,3333,3250.0,158.0,360.0,1.0,urban,y
553,lp002788,male,yes,0.0,not graduate,no,2454,2333.0,181.0,360.0,0.0,urban,n
554,lp002789,male,yes,0.0,graduate,no,3593,4266.0,132.0,180.0,0.0,rural,n
555,lp002792,male,yes,1.0,graduate,no,5468,1032.0,26.0,360.0,1.0,semiurban,y
556,lp002794,female,no,0.0,graduate,no,2667,1625.0,84.0,360.0,,urban,y
557,lp002795,male,yes,3.0,graduate,yes,10139,0.0,260.0,360.0,1.0,semiurban,y
558,lp002798,male,yes,0.0,graduate,no,3887,2669.0,162.0,360.0,1.0,semiurban,y
559,lp002804,female,yes,0.0,graduate,no,4180,2306.0,182.0,360.0,1.0,semiurban,y
560,lp002807,male,yes,2.0,not graduate,no,3675,242.0,108.0,360.0,1.0,semiurban,y
561,lp002813,female,yes,1.0,graduate,yes,19484,0.0,600.0,360.0,1.0,semiurban,y
562,lp002820,male,yes,0.0,graduate,no,5923,2054.0,211.0,360.0,1.0,rural,y
563,lp002821,male,no,0.0,not graduate,yes,5800,0.0,132.0,360.0,1.0,semiurban,y
564,lp002832,male,yes,2.0,graduate,no,8799,0.0,258.0,360.0,0.0,urban,n
565,lp002833,male,yes,0.0,not graduate,no,4467,0.0,120.0,360.0,,rural,y
566,lp002836,male,no,0.0,graduate,no,3333,0.0,70.0,360.0,1.0,urban,y
567,lp002837,male,yes,3.0,graduate,no,3400,2500.0,123.0,360.0,0.0,rural,n
568,lp002840,female,no,0.0,graduate,no,2378,0.0,9.0,360.0,1.0,urban,n
569,lp002841,male,yes,0.0,graduate,no,3166,2064.0,104.0,360.0,0.0,urban,n
570,lp002842,male,yes,1.0,graduate,no,3417,1750.0,186.0,360.0,1.0,urban,y
572,lp002855,male,yes,2.0,graduate,no,16666,0.0,275.0,360.0,1.0,urban,y
573,lp002862,male,yes,2.0,not graduate,no,6125,1625.0,187.0,480.0,1.0,semiurban,n
574,lp002863,male,yes,3.0,graduate,no,6406,0.0,150.0,360.0,1.0,semiurban,n
575,lp002868,male,yes,2.0,graduate,no,3159,461.0,108.0,84.0,1.0,urban,y
577,lp002874,male,no,0.0,graduate,no,3229,2739.0,110.0,360.0,1.0,urban,y
578,lp002877,male,yes,1.0,graduate,no,1782,2232.0,107.0,360.0,1.0,rural,y
580,lp002892,male,yes,2.0,graduate,no,6540,0.0,205.0,360.0,1.0,semiurban,y
581,lp002893,male,no,0.0,graduate,no,1836,33837.0,90.0,360.0,1.0,urban,n
582,lp002894,female,yes,0.0,graduate,no,3166,0.0,36.0,360.0,1.0,semiurban,y
583,lp002898,male,yes,1.0,graduate,no,1880,0.0,61.0,360.0,,rural,n
584,lp002911,male,yes,1.0,graduate,no,2787,1917.0,146.0,360.0,0.0,rural,n
585,lp002912,male,yes,1.0,graduate,no,4283,3000.0,172.0,84.0,1.0,rural,n
586,lp002916,male,yes,0.0,graduate,no,2297,1522.0,104.0,360.0,1.0,urban,y
587,lp002917,female,no,0.0,not graduate,no,2165,0.0,70.0,360.0,1.0,semiurban,y
589,lp002926,male,yes,2.0,graduate,yes,2726,0.0,106.0,360.0,0.0,semiurban,n
590,lp002928,male,yes,0.0,graduate,no,3000,3416.0,56.0,180.0,1.0,semiurban,y
591,lp002931,male,yes,2.0,graduate,yes,6000,0.0,205.0,240.0,1.0,semiurban,n
593,lp002936,male,yes,0.0,graduate,no,3859,3300.0,142.0,180.0,1.0,rural,y
594,lp002938,male,yes,0.0,graduate,yes,16120,0.0,260.0,360.0,1.0,urban,y
595,lp002940,male,no,0.0,not graduate,no,3833,0.0,110.0,360.0,1.0,rural,y
596,lp002941,male,yes,2.0,not graduate,yes,6383,1000.0,187.0,360.0,1.0,rural,n
598,lp002945,male,yes,0.0,graduate,yes,9963,0.0,180.0,360.0,1.0,rural,y
599,lp002948,male,yes,2.0,graduate,no,5780,0.0,192.0,360.0,1.0,urban,y
602,lp002953,male,yes,3.0,graduate,no,5703,0.0,128.0,360.0,1.0,urban,y
603,lp002958,male,no,0.0,graduate,no,3676,4301.0,172.0,360.0,1.0,rural,y
604,lp002959,female,yes,1.0,graduate,no,12000,0.0,496.0,360.0,1.0,semiurban,y
606,lp002961,male,yes,1.0,graduate,no,3400,2500.0,173.0,360.0,1.0,semiurban,y
607,lp002964,male,yes,2.0,not graduate,no,3987,1411.0,157.0,360.0,1.0,rural,y
608,lp002974,male,yes,0.0,graduate,no,3232,1950.0,108.0,360.0,1.0,rural,y
609,lp002978,female,no,0.0,graduate,no,2900,0.0,71.0,360.0,1.0,rural,y
610,lp002979,male,yes,3.0,graduate,no,4106,0.0,40.0,180.0,1.0,rural,y
611,lp002983,male,yes,1.0,graduate,no,8072,240.0,253.0,360.0,1.0,urban,y
612,lp002984,male,yes,2.0,graduate,no,7583,0.0,187.0,360.0,1.0,urban,y
613,lp002990,female,no,0.0,graduate,yes,4583,0.0,133.0,360.0,0.0,semiurban,n
